CMDLINE C:\Users\Usuario\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 120.382812 1712632742.4082
MEM 120.687500 1712632742.5086
MEM 120.925781 1712632742.6089
MEM 121.175781 1712632742.7094
MEM 121.441406 1712632742.8100
MEM 121.675781 1712632742.9104
MEM 121.980469 1712632743.0108
MEM 122.218750 1712632743.1111
MEM 122.445312 1712632743.2117
MEM 122.761719 1712632743.3123
MEM 122.929688 1712632743.4126
MEM 123.230469 1712632743.5130
MEM 123.472656 1712632743.6134
MEM 123.777344 1712632743.7139
MEM 124.015625 1712632743.8143
MEM 124.253906 1712632743.9148
MEM 124.554688 1712632744.0153
MEM 124.796875 1712632744.1157
MEM 125.031250 1712632744.2162
MEM 125.269531 1712632744.3164
MEM 125.574219 1712632744.4168
MEM 125.738281 1712632744.5171
MEM 126.042969 1712632744.6174
MEM 126.277344 1712632744.7177
MEM 126.511719 1712632744.8180
MEM 126.750000 1712632744.9183
MEM 127.054688 1712632745.0188
MEM 127.292969 1712632745.1190
MEM 134.957031 1712632745.2196
MEM 134.957031 1712632745.3200
MEM 134.957031 1712632745.4202
MEM 134.957031 1712632745.5207
MEM 134.957031 1712632745.6209
MEM 134.957031 1712632745.7212
MEM 134.957031 1712632745.8216
MEM 134.957031 1712632745.9218
MEM 134.957031 1712632746.0224
MEM 134.957031 1712632746.1229
MEM 134.957031 1712632746.2231
MEM 134.957031 1712632746.3233
MEM 134.957031 1712632746.4235
MEM 134.957031 1712632746.5240
MEM 134.957031 1712632746.6242
MEM 134.957031 1712632746.7244
MEM 134.957031 1712632746.8246
MEM 134.957031 1712632746.9249
MEM 134.957031 1712632747.0253
MEM 134.957031 1712632747.1255
MEM 134.957031 1712632747.2260
MEM 134.957031 1712632747.3262
MEM 134.957031 1712632747.4265
MEM 134.957031 1712632747.5270
MEM 134.957031 1712632747.6277
MEM 134.957031 1712632747.7282
MEM 134.957031 1712632747.8286
MEM 134.957031 1712632747.9291
MEM 134.957031 1712632748.0293
MEM 134.957031 1712632748.1297
MEM 134.957031 1712632748.2301
MEM 134.957031 1712632748.3305
MEM 134.957031 1712632748.4308
MEM 134.957031 1712632748.5314
MEM 134.957031 1712632748.6321
MEM 134.957031 1712632748.7323
MEM 134.957031 1712632748.8325
MEM 134.957031 1712632748.9330
MEM 134.957031 1712632749.0336
MEM 134.957031 1712632749.1342
MEM 134.957031 1712632749.2346
MEM 134.957031 1712632749.3350
MEM 134.957031 1712632749.4352
MEM 134.957031 1712632749.5357
MEM 134.957031 1712632749.6358
MEM 134.957031 1712632749.7364
MEM 134.957031 1712632749.8366
MEM 134.957031 1712632749.9371
MEM 134.957031 1712632750.0377
MEM 134.957031 1712632750.1380
MEM 134.957031 1712632750.2384
MEM 134.957031 1712632750.3389
MEM 134.957031 1712632750.4393
MEM 134.957031 1712632750.5395
MEM 134.957031 1712632750.6397
MEM 134.957031 1712632750.7401
MEM 134.957031 1712632750.8403
MEM 134.957031 1712632750.9406
MEM 134.957031 1712632751.0411
MEM 134.957031 1712632751.1417
MEM 134.957031 1712632751.2421
MEM 134.957031 1712632751.3425
MEM 134.957031 1712632751.4427
MEM 134.957031 1712632751.5428
MEM 134.957031 1712632751.6432
MEM 134.957031 1712632751.7438
MEM 134.957031 1712632751.8442
MEM 134.957031 1712632751.9445
MEM 134.957031 1712632752.0448
MEM 134.957031 1712632752.1455
MEM 134.957031 1712632752.2461
MEM 134.957031 1712632752.3463
MEM 134.957031 1712632752.4465
MEM 134.957031 1712632752.5467
MEM 134.957031 1712632752.6470
MEM 134.957031 1712632752.7472
MEM 134.957031 1712632752.8475
MEM 134.957031 1712632752.9477
MEM 134.957031 1712632753.0483
MEM 134.957031 1712632753.1486
MEM 134.957031 1712632753.2488
MEM 134.957031 1712632753.3490
MEM 134.957031 1712632753.4494
MEM 134.957031 1712632753.5497
MEM 134.957031 1712632753.6499
MEM 134.957031 1712632753.7501
MEM 134.957031 1712632753.8507
MEM 134.957031 1712632753.9512
MEM 134.957031 1712632754.0517
MEM 134.957031 1712632754.1521
MEM 134.957031 1712632754.2527
MEM 134.957031 1712632754.3531
MEM 134.957031 1712632754.4535
MEM 134.957031 1712632754.5541
MEM 134.957031 1712632754.6543
MEM 134.957031 1712632754.7550
MEM 134.957031 1712632754.8554
MEM 134.957031 1712632754.9557
MEM 134.957031 1712632755.0559
MEM 134.957031 1712632755.1565
MEM 134.957031 1712632755.2566
MEM 134.957031 1712632755.3569
MEM 134.957031 1712632755.4572
MEM 134.957031 1712632755.5576
MEM 134.957031 1712632755.6578
MEM 134.957031 1712632755.7584
MEM 134.957031 1712632755.8586
MEM 134.957031 1712632755.9589
MEM 134.957031 1712632756.0594
MEM 134.957031 1712632756.1599
MEM 134.957031 1712632756.2602
MEM 134.957031 1712632756.3605
MEM 134.957031 1712632756.4610
MEM 134.957031 1712632756.5615
MEM 134.957031 1712632756.6618
MEM 134.957031 1712632756.7623
MEM 134.957031 1712632756.8629
MEM 134.957031 1712632756.9631
MEM 134.957031 1712632757.0636
MEM 134.957031 1712632757.1640
MEM 134.957031 1712632757.2643
MEM 134.957031 1712632757.3647
MEM 134.957031 1712632757.4650
MEM 134.957031 1712632757.5656
MEM 134.957031 1712632757.6658
MEM 134.957031 1712632757.7663
MEM 134.957031 1712632757.8666
MEM 134.957031 1712632757.9671
MEM 134.957031 1712632758.0675
MEM 134.957031 1712632758.1677
MEM 134.957031 1712632758.2679
MEM 134.957031 1712632758.3682
MEM 134.957031 1712632758.4688
MEM 134.957031 1712632758.5693
MEM 134.957031 1712632758.6700
MEM 134.957031 1712632758.7703
MEM 134.957031 1712632758.8705
MEM 134.957031 1712632758.9707
MEM 134.957031 1712632759.0710
MEM 134.957031 1712632759.1714
MEM 134.957031 1712632759.2716
MEM 134.957031 1712632759.3722
MEM 134.957031 1712632759.4725
MEM 134.957031 1712632759.5726
MEM 134.957031 1712632759.6729
MEM 134.957031 1712632759.7734
MEM 134.957031 1712632759.8738
MEM 134.957031 1712632759.9741
MEM 134.957031 1712632760.0747
MEM 134.957031 1712632760.1748
MEM 134.957031 1712632760.2755
MEM 134.957031 1712632760.3757
MEM 134.957031 1712632760.4761
MEM 134.957031 1712632760.5763
MEM 134.957031 1712632760.6768
MEM 134.957031 1712632760.7770
MEM 134.957031 1712632760.8773
MEM 134.957031 1712632760.9777
MEM 134.957031 1712632761.0781
MEM 134.957031 1712632761.1784
MEM 134.957031 1712632761.2789
MEM 134.957031 1712632761.3795
MEM 134.957031 1712632761.4797
MEM 134.957031 1712632761.5800
MEM 134.957031 1712632761.6806
MEM 134.957031 1712632761.7810
MEM 134.957031 1712632761.8811
MEM 134.957031 1712632761.9813
MEM 134.957031 1712632762.0819
MEM 134.957031 1712632762.1824
MEM 134.957031 1712632762.2831
MEM 134.957031 1712632762.3837
MEM 134.957031 1712632762.4844
MEM 134.957031 1712632762.5849
MEM 134.957031 1712632762.6854
MEM 134.957031 1712632762.7860
MEM 134.957031 1712632762.8864
MEM 134.957031 1712632762.9867
MEM 134.957031 1712632763.0871
MEM 134.957031 1712632763.1873
MEM 134.957031 1712632763.2878
MEM 134.957031 1712632763.3882
MEM 134.957031 1712632763.4884
MEM 134.957031 1712632763.5890
MEM 134.957031 1712632763.6892
MEM 134.957031 1712632763.7898
MEM 134.957031 1712632763.8904
MEM 134.957031 1712632763.9907
MEM 134.957031 1712632764.0912
MEM 134.957031 1712632764.1916
MEM 134.957031 1712632764.2922
MEM 134.957031 1712632764.3925
MEM 134.957031 1712632764.4929
MEM 134.957031 1712632764.5934
MEM 134.957031 1712632764.6940
MEM 134.957031 1712632764.7946
MEM 134.957031 1712632764.8950
MEM 134.957031 1712632764.9955
MEM 134.957031 1712632765.0960
MEM 134.957031 1712632765.1962
