CMDLINE C:\Users\drako\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 134.902344 1712985518.3435
MEM 134.902344 1712985518.4440
MEM 134.902344 1712985518.5446
MEM 134.902344 1712985518.6453
MEM 134.902344 1712985518.7456
MEM 134.902344 1712985518.8477
MEM 134.902344 1712985518.9483
MEM 134.902344 1712985519.0486
MEM 134.902344 1712985519.1491
MEM 134.902344 1712985519.2498
MEM 134.902344 1712985519.3500
MEM 134.902344 1712985519.4506
MEM 134.902344 1712985519.5509
MEM 134.902344 1712985519.6515
MEM 134.902344 1712985519.7522
MEM 134.902344 1712985519.8527
MEM 134.902344 1712985519.9531
MEM 134.902344 1712985520.0536
MEM 134.902344 1712985520.1545
MEM 134.902344 1712985520.2549
MEM 134.902344 1712985520.3557
MEM 134.902344 1712985520.4560
MEM 134.902344 1712985520.5563
MEM 134.902344 1712985520.6566
MEM 134.902344 1712985520.7575
MEM 134.902344 1712985520.8581
MEM 134.902344 1712985520.9585
MEM 134.902344 1712985521.0589
MEM 134.902344 1712985521.1596
MEM 134.902344 1712985521.2599
MEM 134.902344 1712985521.3604
MEM 134.902344 1712985521.4610
MEM 134.902344 1712985521.5614
MEM 134.902344 1712985521.6617
MEM 134.902344 1712985521.7622
MEM 134.902344 1712985521.8628
MEM 134.902344 1712985521.9631
MEM 134.902344 1712985522.0633
MEM 134.902344 1712985522.1639
MEM 134.902344 1712985522.2643
MEM 134.902344 1712985522.3647
MEM 134.902344 1712985522.4651
MEM 134.902344 1712985522.5655
MEM 134.902344 1712985522.6660
MEM 134.902344 1712985522.7665
MEM 134.902344 1712985522.8672
MEM 134.902344 1712985522.9679
MEM 134.902344 1712985523.0685
MEM 134.902344 1712985523.1688
MEM 134.902344 1712985523.2690
MEM 134.902344 1712985523.3696
MEM 134.902344 1712985523.4701
MEM 134.902344 1712985523.5705
MEM 134.902344 1712985523.6709
MEM 134.902344 1712985523.7716
MEM 134.902344 1712985523.8721
MEM 134.902344 1712985523.9725
MEM 134.902344 1712985524.0730
MEM 134.902344 1712985524.1735
MEM 134.902344 1712985524.2743
MEM 134.902344 1712985524.3748
MEM 134.902344 1712985524.4754
MEM 134.902344 1712985524.5758
MEM 134.902344 1712985524.6767
MEM 134.902344 1712985524.7774
MEM 134.902344 1712985524.8779
MEM 134.902344 1712985524.9784
MEM 134.902344 1712985525.0791
MEM 134.902344 1712985525.1796
MEM 134.902344 1712985525.2802
MEM 134.902344 1712985525.3804
MEM 134.902344 1712985525.4810
MEM 134.902344 1712985525.5815
MEM 134.902344 1712985525.6821
MEM 134.902344 1712985525.7824
MEM 134.902344 1712985525.8829
MEM 134.902344 1712985525.9836
MEM 134.902344 1712985526.0840
MEM 134.867188 1712985526.1847
MEM 134.867188 1712985526.2857
MEM 134.867188 1712985526.3863
MEM 134.867188 1712985526.4867
MEM 134.867188 1712985526.5872
MEM 134.867188 1712985526.6875
MEM 134.867188 1712985526.7881
MEM 134.867188 1712985526.8887
MEM 134.867188 1712985526.9895
MEM 134.867188 1712985527.0898
MEM 134.867188 1712985527.1903
MEM 134.867188 1712985527.2908
MEM 134.867188 1712985527.3912
MEM 134.867188 1712985527.4919
MEM 134.867188 1712985527.5925
MEM 134.867188 1712985527.6932
MEM 134.867188 1712985527.7939
MEM 134.867188 1712985527.8942
MEM 134.867188 1712985527.9943
MEM 134.867188 1712985528.0948
MEM 134.867188 1712985528.1954
MEM 134.867188 1712985528.2957
MEM 134.867188 1712985528.3964
MEM 134.867188 1712985528.4970
MEM 134.867188 1712985528.5975
MEM 134.867188 1712985528.6986
MEM 134.867188 1712985528.7992
MEM 134.867188 1712985528.8997
MEM 134.867188 1712985529.0002
MEM 134.867188 1712985529.1005
MEM 134.867188 1712985529.2009
MEM 134.867188 1712985529.3015
MEM 134.867188 1712985529.4020
MEM 134.867188 1712985529.5027
MEM 134.867188 1712985529.6031
MEM 134.867188 1712985529.7036
MEM 134.867188 1712985529.8039
MEM 134.867188 1712985529.9046
MEM 134.867188 1712985530.0053
MEM 134.867188 1712985530.1060
MEM 134.867188 1712985530.2066
MEM 134.867188 1712985530.3068
MEM 134.867188 1712985530.4073
MEM 134.867188 1712985530.5076
MEM 134.867188 1712985530.6080
MEM 134.867188 1712985530.7086
MEM 134.867188 1712985530.8090
MEM 134.867188 1712985530.9096
MEM 134.867188 1712985531.0100
MEM 134.867188 1712985531.1102
MEM 134.867188 1712985531.2105
MEM 134.867188 1712985531.3111
MEM 134.867188 1712985531.4115
MEM 134.867188 1712985531.5119
MEM 134.867188 1712985531.6125
MEM 134.867188 1712985531.7131
MEM 134.867188 1712985531.8135
MEM 134.867188 1712985531.9141
MEM 134.867188 1712985532.0144
MEM 134.867188 1712985532.1150
MEM 134.867188 1712985532.2154
MEM 134.867188 1712985532.3160
MEM 134.867188 1712985532.4165
MEM 134.867188 1712985532.5169
MEM 134.867188 1712985532.6172
MEM 134.867188 1712985532.7175
MEM 134.867188 1712985532.8185
MEM 134.867188 1712985532.9189
MEM 134.867188 1712985533.0191
MEM 134.867188 1712985533.1194
MEM 134.867188 1712985533.2200
MEM 134.867188 1712985533.3205
MEM 134.867188 1712985533.4215
MEM 134.867188 1712985533.5224
MEM 134.867188 1712985533.6229
MEM 134.867188 1712985533.7237
MEM 134.867188 1712985533.8238
MEM 134.867188 1712985533.9241
MEM 134.867188 1712985534.0247
MEM 134.867188 1712985534.1252
MEM 134.867188 1712985534.2257
MEM 134.867188 1712985534.3261
MEM 134.867188 1712985534.4267
MEM 134.867188 1712985534.5273
MEM 134.867188 1712985534.6277
MEM 134.867188 1712985534.7283
MEM 134.867188 1712985534.8289
MEM 134.867188 1712985534.9292
MEM 134.867188 1712985535.0296
MEM 134.867188 1712985535.1301
MEM 134.867188 1712985535.2304
MEM 134.867188 1712985535.3306
MEM 134.867188 1712985535.4309
MEM 134.867188 1712985535.5314
MEM 134.867188 1712985535.6319
MEM 134.867188 1712985535.7322
MEM 134.867188 1712985535.8327
MEM 134.867188 1712985535.9330
MEM 134.867188 1712985536.0335
MEM 134.867188 1712985536.1340
MEM 134.867188 1712985536.2346
MEM 134.867188 1712985536.3353
MEM 134.867188 1712985536.4358
MEM 134.867188 1712985536.5361
MEM 134.867188 1712985536.6364
MEM 134.867188 1712985536.7366
MEM 134.867188 1712985536.8369
MEM 134.867188 1712985536.9376
MEM 134.867188 1712985537.0384
MEM 134.867188 1712985537.1388
MEM 134.867188 1712985537.2394
MEM 134.867188 1712985537.3398
MEM 134.867188 1712985537.4405
MEM 134.867188 1712985537.5410
MEM 134.867188 1712985537.6416
MEM 134.867188 1712985537.7419
MEM 134.867188 1712985537.8434
MEM 134.867188 1712985537.9437
MEM 134.867188 1712985538.0444
MEM 134.867188 1712985538.1447
MEM 134.867188 1712985538.2452
MEM 134.867188 1712985538.3457
MEM 134.867188 1712985538.4462
MEM 134.867188 1712985538.5468
MEM 134.867188 1712985538.6475
MEM 134.867188 1712985538.7481
MEM 134.867188 1712985538.8487
MEM 134.867188 1712985538.9496
MEM 134.867188 1712985539.0502
MEM 134.867188 1712985539.1504
MEM 134.867188 1712985539.2511
MEM 134.867188 1712985539.3515
MEM 134.867188 1712985539.4522
MEM 134.867188 1712985539.5526
MEM 134.867188 1712985539.6531
MEM 134.867188 1712985539.7537
MEM 134.867188 1712985539.8543
MEM 134.867188 1712985539.9546
MEM 134.867188 1712985540.0551
MEM 134.867188 1712985540.1556
MEM 134.867188 1712985540.2561
MEM 134.867188 1712985540.3567
MEM 134.867188 1712985540.4574
MEM 134.867188 1712985540.5577
MEM 134.867188 1712985540.6583
MEM 134.867188 1712985540.7589
MEM 134.867188 1712985540.8593
MEM 134.867188 1712985540.9598
MEM 134.867188 1712985541.0602
MEM 134.867188 1712985541.1607
MEM 134.867188 1712985541.2613
MEM 134.867188 1712985541.3618
MEM 134.867188 1712985541.4623
MEM 134.867188 1712985541.5628
MEM 134.867188 1712985541.6633
MEM 134.867188 1712985541.7635
MEM 134.867188 1712985541.8640
MEM 134.867188 1712985541.9643
MEM 134.867188 1712985542.0646
MEM 134.867188 1712985542.1654
MEM 134.867188 1712985542.2660
MEM 134.867188 1712985542.3663
MEM 134.867188 1712985542.4668
MEM 134.867188 1712985542.5670
MEM 134.867188 1712985542.6674
MEM 134.867188 1712985542.7676
MEM 134.867188 1712985542.8680
MEM 134.867188 1712985542.9682
MEM 134.867188 1712985543.0685
MEM 134.867188 1712985543.1694
MEM 134.867188 1712985543.2697
MEM 134.867188 1712985543.3704
MEM 134.867188 1712985543.4712
MEM 134.867188 1712985543.5718
MEM 134.867188 1712985543.6726
MEM 134.867188 1712985543.7731
MEM 134.867188 1712985543.8734
MEM 134.867188 1712985543.9739
MEM 134.867188 1712985544.0745
MEM 134.867188 1712985544.1749
MEM 134.867188 1712985544.2751
MEM 134.867188 1712985544.3757
MEM 134.867188 1712985544.4759
MEM 134.867188 1712985544.5766
MEM 134.867188 1712985544.6768
MEM 134.867188 1712985544.7772
MEM 134.867188 1712985544.8779
MEM 134.867188 1712985544.9786
MEM 134.867188 1712985545.0791
MEM 134.867188 1712985545.1794
MEM 134.867188 1712985545.2803
MEM 134.867188 1712985545.3807
MEM 134.867188 1712985545.4813
MEM 134.867188 1712985545.5819
MEM 134.867188 1712985545.6822
MEM 134.867188 1712985545.7826
MEM 134.867188 1712985545.8829
MEM 134.867188 1712985545.9832
MEM 134.867188 1712985546.0837
MEM 134.867188 1712985546.1840
MEM 134.867188 1712985546.2847
MEM 134.867188 1712985546.3853
MEM 134.867188 1712985546.4861
MEM 134.867188 1712985546.5866
MEM 134.867188 1712985546.6869
MEM 134.867188 1712985546.7874
